	記号,一般,*,*,*,*,*
明らか	名詞,形容動詞語幹,*,*,*,*,明らか,アキラカ,アキラカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
とともに	助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
、	記号,読点,*,*,*,*,、,、,、
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り扱う	動詞,自立,*,*,五段・ワ行促音便,基本形,取り扱う,トリアツカウ,トリアツカウ
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
遵守	名詞,サ変接続,*,*,*,*,遵守,ジュンシュ,ジュンシュ
す	動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
義務	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
定める	動詞,自立,*,*,一段,基本形,定める,サダメル,サダメル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
、	記号,読点,*,*,*,*,、,、,、
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
有用	名詞,形容動詞語幹,*,*,*,*,有用,ユウヨウ,ユーヨー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
配慮	名詞,サ変接続,*,*,*,*,配慮,ハイリョ,ハイリョ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
つつ	助詞,接続助詞,*,*,*,*,つつ,ツツ,ツツ
、	記号,読点,*,*,*,*,、,、,、
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
権利	名詞,一般,*,*,*,*,*,*,*,wikipedia
利益	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
保護	名詞,サ変接続,*,*,*,*,保護,ホゴ,ホゴ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目的	名詞,一般,*,*,*,*,*,*,*,wikipedia
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
定義	名詞,一般,*,*,*,*,*,*,*,wikipedia
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
二条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
この	連体詞,*,*,*,*,*,この,コノ,コノ
法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
「	記号,括弧開,*,*,*,*,「,「,「
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
生存	名詞,一般,*,*,*,*,*,*,*,wikipedia
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
に関する	助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
含ま	動詞,自立,*,*,五段・マ行,未然形,含む,フクマ,フクマ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
氏名	名詞,一般,*,*,*,*,*,*,*,wikipedia
、	記号,読点,*,*,*,*,、,、,、
生年月日	名詞,一般,*,*,*,*,*,*,*,wikipedia
その他	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
記述	名詞,サ変接続,*,*,*,*,記述,キジュツ,キジュツ
等	名詞,接尾,一般,*,*,*,等,トウ,トー
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
特定	名詞,サ変接続,*,*,*,*,特定,トクテイ,トクテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
識別	名詞,サ変接続,*,*,*,*,識別,シキベツ,シキベツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
（	記号,括弧開,*,*,*,*,（,（,（
他	名詞,一般,*,*,*,*,他,タ,タ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
と	助詞,並立助詞,*,*,*,*,と,ト,ト
容易	名詞,一般,*,*,*,*,*,*,*,wikipedia
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
照合	名詞,サ変接続,*,*,*,*,照合,ショウゴウ,ショーゴー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ
、	記号,読点,*,*,*,*,、,、,、
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
特定	名詞,サ変接続,*,*,*,*,特定,トクテイ,トクテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
識別	名詞,サ変接続,*,*,*,*,識別,シキベツ,シキベツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含む	動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
。	記号,句点,*,*,*,*,。,。,。
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
２	名詞,数,*,*,*,*,２,ニ,ニ
　	記号,空白,*,*,*,*,　,　,　
この	連体詞,*,*,*,*,*,この,コノ,コノ
法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
「	記号,括弧開,*,*,*,*,「,「,「
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
データベース	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
含む	動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
集合	名詞,一般,*,*,*,*,*,*,*,wikipedia
物	名詞,接尾,一般,*,*,*,物,ブツ,ブツ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
次に	副詞,一般,*,*,*,*,次に,ツギニ,ツギニ
掲げる	動詞,自立,*,*,一段,基本形,掲げる,カカゲル,カカゲル
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
一	名詞,数,*,*,*,*,一,イチ,イチ
　	記号,空白,*,*,*,*,　,　,　
特定	名詞,サ変接続,*,*,*,*,特定,トクテイ,トクテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
電子計算機	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
検索	名詞,一般,*,*,*,*,*,*,*,wikipedia
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
体系	名詞,一般,*,*,*,*,*,*,*,wikipedia
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
構成	名詞,一般,*,*,*,*,*,*,*,wikipedia
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
二	名詞,数,*,*,*,*,二,ニ,ニ
　	記号,空白,*,*,*,*,　,　,　
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
号	名詞,接尾,一般,*,*,*,号,ゴウ,ゴー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
掲げる	動詞,自立,*,*,一段,基本形,掲げる,カカゲル,カカゲル
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
、	記号,読点,*,*,*,*,、,、,、
特定	名詞,サ変接続,*,*,*,*,特定,トクテイ,トクテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
容易	名詞,一般,*,*,*,*,*,*,*,wikipedia
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
検索	名詞,一般,*,*,*,*,*,*,*,wikipedia
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
体系	名詞,一般,*,*,*,*,*,*,*,wikipedia
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
構成	名詞,一般,*,*,*,*,*,*,*,wikipedia
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
政令	名詞,一般,*,*,*,*,*,*,*,wikipedia
で	助詞,格助詞,一般,*,*,*,で,デ,デ
定める	動詞,自立,*,*,一段,基本形,定める,サダメル,サダメル
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
３	名詞,数,*,*,*,*,３,サン,サン
　	記号,空白,*,*,*,*,　,　,　
この	連体詞,*,*,*,*,*,この,コノ,コノ
法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
「	記号,括弧開,*,*,*,*,「,「,「
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
取扱	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
データベース	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
事業	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
用	名詞,一般,*,*,*,*,用,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
供	名詞,サ変接続,*,*,*,*,供,キョウ,キョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
ただし	接続詞,*,*,*,*,*,ただし,タダシ,タダシ
、	記号,読点,*,*,*,*,、,、,、
次に	副詞,一般,*,*,*,*,次に,ツギニ,ツギニ
掲げる	動詞,自立,*,*,一段,基本形,掲げる,カカゲル,カカゲル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
除く	動詞,自立,*,*,五段・カ行イ音便,基本形,除く,ノゾク,ノゾク
。	記号,句点,*,*,*,*,。,。,。
一	名詞,数,*,*,*,*,一,イチ,イチ
　	記号,空白,*,*,*,*,　,　,　
国	名詞,一般,*,*,*,*,国,クニ,クニ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
機関	名詞,一般,*,*,*,*,*,*,*,wikipedia
二	名詞,数,*,*,*,*,二,ニ,ニ
　	記号,空白,*,*,*,*,　,　,　
地方公共団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
三	名詞,数,*,*,*,*,三,サン,サン
　	記号,空白,*,*,*,*,　,　,　
独立行政法人	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
（	記号,括弧開,*,*,*,*,（,（,（
独立行政法人	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
個人情報の保護に関する法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
（	記号,括弧開,*,*,*,*,（,（,（
平成十五年	名詞,一般,*,*,*,*,*,*,*,wikipedia
法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
五十	名詞,一般,*,*,*,*,*,*,*,wikipedia
九	名詞,数,*,*,*,*,九,キュウ,キュー
号	名詞,接尾,一般,*,*,*,号,ゴウ,ゴー
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
二条	名詞,一般,*,*,*,*,*,*,*,wikipedia
第一	名詞,一般,*,*,*,*,*,*,*,wikipedia
項	名詞,一般,*,*,*,*,項,コウ,コー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
独立行政法人	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
以下	名詞,一般,*,*,*,*,*,*,*,wikipedia
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ
。	記号,句点,*,*,*,*,。,。,。
）	記号,括弧閉,*,*,*,*,）,）,）
四	名詞,数,*,*,*,*,四,ヨン,ヨン
　	記号,空白,*,*,*,*,　,　,　
地方独立行政法人	名詞,一般,*,*,*,*,*,*,*,wikipedia
（	記号,括弧開,*,*,*,*,（,（,（
地方独立行政法人法	名詞,一般,*,*,*,*,*,*,*,wikipedia
（	記号,括弧開,*,*,*,*,（,（,（
平成十五年	名詞,一般,*,*,*,*,*,*,*,wikipedia
法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
八	名詞,数,*,*,*,*,八,ハチ,ハチ
号	名詞,接尾,一般,*,*,*,号,ゴウ,ゴー
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
二条	名詞,一般,*,*,*,*,*,*,*,wikipedia
第一	名詞,一般,*,*,*,*,*,*,*,wikipedia
項	名詞,一般,*,*,*,*,項,コウ,コー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
地方独立行政法人	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
以下	名詞,一般,*,*,*,*,*,*,*,wikipedia
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ
。	記号,句点,*,*,*,*,。,。,。
）	記号,括弧閉,*,*,*,*,）,）,）
五	名詞,数,*,*,*,*,五,ゴ,ゴ
　	記号,空白,*,*,*,*,　,　,　
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
取り扱う	動詞,自立,*,*,五段・ワ行促音便,基本形,取り扱う,トリアツカウ,トリアツカウ
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
量	名詞,一般,*,*,*,*,量,リョウ,リョー
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
方法	名詞,一般,*,*,*,*,*,*,*,wikipedia
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
み	動詞,自立,*,*,一段,連用形,みる,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
権利	名詞,一般,*,*,*,*,*,*,*,wikipedia
利益	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
害する	動詞,自立,*,*,サ変・－スル,基本形,害する,ガイスル,ガイスル
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
少ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,少ない,スクナイ,スクナイ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
政令	名詞,一般,*,*,*,*,*,*,*,wikipedia
で	助詞,格助詞,一般,*,*,*,で,デ,デ
定める	動詞,自立,*,*,一段,基本形,定める,サダメル,サダメル
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
４	名詞,数,*,*,*,*,４,ヨン,ヨン
　	記号,空白,*,*,*,*,　,　,　
この	連体詞,*,*,*,*,*,この,コノ,コノ
法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
「	記号,括弧開,*,*,*,*,「,「,「
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
データベース	名詞,一般,*,*,*,*,*,*,*,wikipedia
等	名詞,接尾,一般,*,*,*,等,トウ,トー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
構成	名詞,一般,*,*,*,*,*,*,*,wikipedia
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
５	名詞,数,*,*,*,*,５,ゴ,ゴ
　	記号,空白,*,*,*,*,　,　,　
この	連体詞,*,*,*,*,*,この,コノ,コノ
法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
「	記号,括弧開,*,*,*,*,「,「,「
保有	名詞,サ変接続,*,*,*,*,保有,ホユウ,ホユー
個人	名詞,一般,*,*,*,*,*,*,*,wikipedia
データ	名詞,一般,*,*,*,*,*,*,*,wikipedia
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
取扱	名詞,一般,*,*,*,*,*,*,*,wikipedia
